train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1116,0.6807,0.0893,0.2909,0.0213,0.5066,0.0657,0.1959
0.0213,0.4311,0.0559,0.1677,0.02,0.4326,0.0552,0.1675
0.0185,0.3525,0.0464,0.1378,0.0162,0.3561,0.0495,0.1392
0.0171,0.3115,0.0412,0.1221,0.0158,0.3031,0.04,0.1185
0.0161,0.2802,0.0371,0.11,0.0148,0.2978,0.0403,0.1165
0.0153,0.2569,0.0339,0.101,0.0141,0.2651,0.0367,0.1043
0.0147,0.2362,0.031,0.093,0.0139,0.2449,0.0334,0.0964
0.0142,0.2216,0.0291,0.0874,0.0138,0.2602,0.0351,0.102
0.0136,0.2061,0.027,0.0814,0.0139,0.221,0.0298,0.0874
0.0133,0.1972,0.0257,0.078,0.0132,0.2149,0.0292,0.0849
0.0129,0.1868,0.0243,0.0739,0.0135,0.2079,0.0271,0.082
0.0127,0.1783,0.023,0.0706,0.0126,0.1965,0.0267,0.0778
0.0123,0.1686,0.0217,0.0668,0.0129,0.2001,0.0264,0.079
0.012,0.1619,0.0208,0.0643,0.0126,0.1854,0.0253,0.0737
0.0118,0.1558,0.0199,0.0619,0.0125,0.1833,0.0249,0.0728
0.0117,0.1518,0.0194,0.0603,0.0121,0.178,0.0236,0.0705
0.0114,0.1435,0.0182,0.0571,0.0122,0.2156,0.0301,0.0851
0.0111,0.1382,0.0174,0.0551,0.012,0.1701,0.0233,0.0678
0.011,0.1352,0.017,0.0539,0.0117,0.1646,0.0225,0.0656
0.0108,0.1294,0.0163,0.0516,0.0119,0.1683,0.023,0.0671
0.0107,0.126,0.0158,0.0503,0.0117,0.1636,0.0226,0.0653
0.0105,0.1226,0.0153,0.049,0.0115,0.1513,0.0202,0.0604
0.0103,0.1163,0.0144,0.0465,0.0114,0.1623,0.0224,0.0647
0.0102,0.1134,0.0141,0.0454,0.0111,0.1491,0.0207,0.0597
0.01,0.1092,0.0134,0.0438,0.0109,0.1425,0.0193,0.057
0.0098,0.1059,0.013,0.0425,0.0112,0.1432,0.0196,0.0574
0.0098,0.1038,0.0127,0.0417,0.0111,0.1462,0.0198,0.0585
0.0095,0.0985,0.012,0.0396,0.011,0.14,0.0192,0.0562
0.0094,0.097,0.0118,0.039,0.0106,0.1349,0.0187,0.0542
0.0094,0.0955,0.0117,0.0385,0.0105,0.1328,0.0187,0.0535
0.0092,0.0921,0.0111,0.0371,0.0113,0.1478,0.0203,0.0592
0.009,0.0881,0.0106,0.0355,0.0106,0.1314,0.0185,0.053
0.0089,0.0867,0.0104,0.035,0.0106,0.1398,0.0208,0.0565
